,NC,source,feature,start,end,score,strand,frame,descr
0,NC_000001.11,BestRefSeq,mRNA,75724709,75763679,.,+,.,"ID=rna-NM_000016.6;Parent=gene-ACADM;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;Name=NM_000016.6;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
1,NC_000001.11,BestRefSeq,exon,75724709,75724817,.,+,.,"ID=exon-NM_000016.6-1;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
2,NC_000001.11,BestRefSeq,exon,75728401,75728488,.,+,.,"ID=exon-NM_000016.6-2;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
3,NC_000001.11,BestRefSeq,exon,75732644,75732741,.,+,.,"ID=exon-NM_000016.6-3;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
4,NC_000001.11,BestRefSeq,exon,75732853,75732922,.,+,.,"ID=exon-NM_000016.6-4;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
5,NC_000001.11,BestRefSeq,exon,75733528,75733628,.,+,.,"ID=exon-NM_000016.6-5;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
6,NC_000001.11,BestRefSeq,exon,75734791,75734871,.,+,.,"ID=exon-NM_000016.6-6;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
7,NC_000001.11,BestRefSeq,exon,75739980,75740110,.,+,.,"ID=exon-NM_000016.6-7;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
8,NC_000001.11,BestRefSeq,exon,75745806,75745914,.,+,.,"ID=exon-NM_000016.6-8;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
9,NC_000001.11,BestRefSeq,exon,75749419,75749559,.,+,.,"ID=exon-NM_000016.6-9;Parent=rna-NM_000016.6;Dbxref=Ensembl:ENST00000370841.9,GeneID:34,Genbank:NM_000016.6,HGNC:HGNC:89,MIM:607008;gbkey=mRNA;gene=ACADM;product=acyl-CoA dehydrogenase medium chain%2C transcript variant 1;tag=MANE Select;transcript_id=NM_000016.6"
