,NM,NC,q_start,q_end,align_start,align_end,e_value,source,feature,annot_start,annot_end,score,strand,frame
1588,NM_000016.6,NC_000001.11,457,561,75734780,75734886,1.9e-35,BestRefSeq,exon,75734791,75734871,.,+,.
1525,NM_000016.6,NC_000001.11,678,788,75745805,75745915,6.68e-50,BestRefSeq,exon,75745806,75745914,.,+,.
1487,NM_000016.6,NC_000001.11,786,931,75749417,75749562,2.34e-69,BestRefSeq,exon,75749419,75749559,.,+,.
1670,NM_000017.4,NC_000012.12,855,1006,120738532,120738683,4.14e-66,BestRefSeq,exon,120738533,120738670,.,+,.
1704,NM_000017.4,NC_000012.12,991,1090,120738817,120738916,7.13e-44,BestRefSeq,exon,120738820,120738915,.,+,.
